name,x,y,z,stellar_class,mass,temperature,luminosity,absolute_magnitude
GJ 3454 (G 89-32) A,11.166981,-12.598787,-22.335846,M3V,0.327,3266,0.008618,11.67
CWISEP 0402-2651¤,-20.785407,0.855286,-18.771141,M8V,0.121,2544,0.00021,16.11
Gliese 877 (L 49-19),13.88678,12.25258,21.055653,M3V,0.327,3266,0.008618,11.67
CD Ceti (GJ 1057),-20.567578,17.662508,7.205918,M3V,0.327,3266,0.008618,11.67
Zeta Tucanae,-27.540923,3.715354,3.973292,M5V,0.244,2977,0.001951,13.44
LP 502-56 (NLTT 40406),-2.793047,-14.383738,23.985629,M5V,0.244,2977,0.001951,13.44
WISE 1647+5632¤,-1.545209,27.380511,-6.217258,M8V,0.121,2544,0.00021,16.11
GJ 3517 (LP 666-9),-8.3789,4.686198,26.560198,M3V,0.327,3266,0.008618,11.67
Chi1 Orionis B,26.401724,9.396078,-3.614445,M5V,0.244,2977,0.001951,13.44
AP Columbae,-22.249163,8.075051,-15.446662,M5V,0.244,2977,0.001951,13.44
SIPS J1141-3624 (PM J11413-3624),23.194799,-16.104191,2.420186,M5V,0.244,2977,0.001951,13.44
GJ 1207 (G 19-7),-18.903015,-20.80621,3.914959,M3V,0.327,3266,0.008618,11.67
LP 991-84,-1.616217,-26.622071,-9.928136,M5V,0.244,2977,0.001951,13.44
Xi Ursae Majoris Ba,-0.271547,-28.394188,2.31871,M5V,0.244,2977,0.001951,13.44
Xi Ursae Majoris Aa (Alula Australis),-10.979846,22.763562,-13.150792,M5V,0.244,2977,0.001951,13.44
Xi Ursae Majoris Bb,-10.979846,22.763562,-13.150792,M5V,0.244,2977,0.001951,13.44
WISE J1118+3125¤,10.954982,-10.210836,24.236487,M8V,0.121,2544,0.00021,16.11
Xi Ursae Majoris Ab,10.954982,-10.210836,24.236487,M5V,0.244,2977,0.001951,13.44
2MASS 0036+1821 (LSPM J0036+1821)¤,21.894073,4.774439,17.596829,L5,0.069,1788,2.80E-05,18.67
Gliese 250 (HD 50281) Ba,21.873608,1.965499,-18.222502,M3V,0.327,3266,0.008618,11.67
Gliese 250 (HD 50281) Bb,21.873608,1.965499,-18.222502,M3V,0.327,3266,0.008618,11.67
Gliese 450 (MCC 135),-11.109768,1.552083,-26.296075,M3V,0.327,3266,0.008618,11.67
GJ 1103 B,-1.183963,-14.53117,-24.616568,M3V,0.327,3266,0.008618,11.67
GJ 1103 A,-5.235583,26.998724,-7.886043,M3V,0.327,3266,0.008618,11.67
WISENF 1936+0408¤,3.971418,26.383259,10.411584,M8V,0.121,2544,0.00021,16.11
41 G. Arae Ba,-8.326273,27.430246,-0.629035,M5V,0.244,2977,0.001951,13.44
41 G. Arae Bb,15.251187,20.530778,12.962615,M5V,0.244,2977,0.001951,13.44
"HD 192310 (5 G. Capricorni, HR 7722, Gliese 785)",1.249272,-28.386935,4.307129,M3V,0.327,3266,0.008618,11.67
Gliese 849,-27.038419,0.036026,-9.772529,M3V,0.327,3266,0.008618,11.67
HU Delphini (Gliese 791.2) B,-11.179118,0.062829,-26.50049,M3V,0.327,3266,0.008618,11.67
HU Delphini (Gliese 791.2) A,-11.179118,0.062829,-26.50049,M3V,0.327,3266,0.008618,11.67
Ross 730,1.631481,-11.307554,26.444237,M4V,0.286,3122,0.0041,12.56
HD 349726,1.631481,-11.307554,26.444237,K5V,0.606,4366,0.195887,7.67
L 32-8,16.924075,-6.301829,-22.473035,M5V,0.244,2977,0.001951,13.44
L 32-9,16.924075,-6.301829,-22.473035,M5V,0.244,2977,0.001951,13.44
"HR 1614 (284 G. Eridani, HD 32147, Gliese 183)",22.676471,3.380255,-17.504037,M3V,0.327,3266,0.008618,11.67
GJ 1105 (G 111-47),25.675538,-6.298102,11.589056,M3V,0.327,3266,0.008618,11.67
Gliese 867 C,27.102793,-7.434547,6.592289,M3V,0.327,3266,0.008618,11.67
Gliese 867 D,27.102793,-7.434547,6.592289,M3V,0.327,3266,0.008618,11.67
FL Aquarii,27.102793,-7.434547,6.592289,M5V,0.244,2977,0.001951,13.44
FK Aquarii,27.102794,-7.434547,6.592289,M5V,0.244,2977,0.001951,13.44
Ross 695 (Gliese 465),-11.497494,19.009894,18.556793,M3V,0.327,3266,0.008618,11.67
SCR J0630-7643 A,-1.029956,23.211878,17.271604,M5V,0.244,2977,0.001951,13.44
SCR J0630-7643 B,-1.029956,23.211878,17.271604,M5V,0.244,2977,0.001951,13.44
DENIS 0334-49 (LEHPM 3396),-4.693815,17.141941,-22.868698,M5V,0.244,2977,0.001951,13.44
2MASS 0727+1710¤,8.005793,-23.110568,-15.563709,M8V,0.121,2544,0.00021,16.11
AK Leporis,-20.932583,-18.508629,-7.764073,M5V,0.244,2977,0.001951,13.44
WISE1810¤,-3.821668,28.774867,-0.377817,M8V,0.121,2544,0.00021,16.11
GJ 2066 (G 113-20),1.095434,-26.729632,-11.590549,M3V,0.327,3266,0.008618,11.67
"LHS 224 (G 193-27, GJ 3421) A",-16.775056,-23.111132,-7.113225,M3V,0.327,3266,0.008618,11.67
"LHS 224 (G 193-27, GJ 3421) B",27.025766,-10.891608,-4.13591,M3V,0.327,3266,0.008618,11.67
SZ Ursae Majoris,-12.396715,-19.807335,18.1505,M5V,0.244,2977,0.001951,13.44
Gliese 433,8.595723,27.106348,8.233219,M3V,0.327,3266,0.008618,11.67
Delta Eridani (Rana),-13.185514,-16.044541,-21.153763,M5V,0.244,2977,0.001951,13.44
Gliese 508 (HD 115953) B,29.088208,0.334464,-5.7347,M3V,0.327,3266,0.008618,11.67
Gliese 508 (HD 115953) Ab,-21.010863,-18.618041,9.54121,M3V,0.327,3266,0.008618,11.67
GJ 3146 (LP 469-206),-18.730901,18.222828,14.036906,M3V,0.327,3266,0.008618,11.67
"LHS 1126 (GJ 2012, EGGR 246)à",13.343845,-1.506323,26.457279,M3V,0.327,3266,0.008618,11.67
V374 Pegasi,-23.585477,17.400608,-4.735859,M5V,0.244,2977,0.001951,13.44
2MASSI J0652307+471034¤,-24.235938,-2.490766,17.009914,M8V,0.121,2544,0.00021,16.11
WT 460 A,4.721195,-2.539101,-29.235595,M5V,0.244,2977,0.001951,13.44
WT 460 B,4.721195,-2.539101,-29.235595,M5V,0.244,2977,0.001951,13.44
LP 783-2,28.152982,-9.810319,0.952181,M5V,0.244,2977,0.001951,13.44
LP 783-3,28.152982,-9.810319,0.952181,M5V,0.244,2977,0.001951,13.44
WISE 0713-2917¤,-24.46376,10.239054,13.678882,M8V,0.121,2544,0.00021,16.11
2MASS J03552337+1133437¤,-16.680862,21.445863,12.435364,M8V,0.121,2544,0.00021,16.11
WISEP J213456.73-713743.6¤,-6.093864,-22.417027,18.824233,M8V,0.121,2544,0.00021,16.11
"Groombridge 1830 (CF Ursae Majoris, HD 103095)",1.055271,-8.385637,-28.695728,K5V,0.606,4366,0.195887,7.67
GJ 3801 (Ross 1015),-12.25813,-27.347253,0.816349,M3V,0.327,3266,0.008618,11.67
Beta Comae Berenices,-11.097333,14.614378,23.730764,M5V,0.244,2977,0.001951,13.44
CFBDS J005910.90Ð011401.3 (CFBDS J005910-011401)¤,6.697796,3.337412,29.051699,M5V,0.244,2977,0.001951,13.44
GJ 3325,-11.616456,20.114505,19.033274,M3V,0.327,3266,0.008618,11.67
2MASS 1750-00¤,-19.941339,-13.494137,-18.062704,M8V,0.121,2544,0.00021,16.11
GJ 3421,-19.941339,-13.494137,-18.062704,M3V,0.327,3266,0.008618,11.67
WISE 1804+3117¤,14.947791,14.868724,-21.622316,M8V,0.121,2544,0.00021,16.11
Gamma Pavonis,14.947791,14.868724,-21.622316,M5V,0.244,2977,0.001951,13.44
GJ 3135,-11.770513,27.865973,0.071031,M3V,0.327,3266,0.008618,11.67
Kappa- Ceti,-17.251141,2.29853,-24.754444,M5V,0.244,2977,0.001951,13.44
HD 102365 (66 G. Centauri/Gliese 442) B,27.608581,-6.0782,11.075773,M3V,0.327,3266,0.008618,11.67
2MASS J0011+5908,11.715559,20.592617,19.000704,M8V,0.121,2544,0.00021,16.11
GJ 1123,-26.64644,1.518833,-14.782438,M3V,0.327,3266,0.008618,11.67
Gliese 190,23.993188,3.576531,-18.520415,M3V,0.327,3266,0.008618,11.67
Gliese 226,19.495355,-22.657409,6.552325,M3V,0.327,3266,0.008618,11.67
GJ 3306 (LHS 194)à,-19.15873,22.062715,-9.383806,M3V,0.327,3266,0.008618,11.67
Gliese 367 (Aauca),23.836349,-14.032594,13.363074,M3V,0.327,3266,0.008618,11.67
Gliese 357,-11.870662,-7.914454,27.269231,M3V,0.327,3266,0.008618,11.67
2MASS J11592743-5247188,23.154847,9.623324,18.056983,M8V,0.121,2544,0.00021,16.11
2MASS 0034+0523¤,23.154848,9.623324,18.056984,M8V,0.121,2544,0.00021,16.11
Gliese 694,8.504998,10.093999,-27.961091,M3V,0.327,3266,0.008618,11.67
Gliese 176,24.321011,3.625397,-18.773463,M3V,0.327,3266,0.008618,11.67
GJ 3512,-1.890958,-23.217738,20.417479,M3V,0.327,3266,0.008618,11.67
GJ 1065,-20.701023,0.775161,23.035345,M3V,0.327,3266,0.008618,11.67
CWISEP J1446-2317¤,18.464095,17.494002,-17.721092,M8V,0.121,2544,0.00021,16.11
GJ 1227,-24.760558,14.171401,12.280462,M3V,0.327,3266,0.008618,11.67
GJ 3380,9.162463,28.861805,6.978615,M3V,0.327,3266,0.008618,11.67
HR 4458 (289 G. Hydrae) B,31.011116,-2.991509,0.745944,G5V,0.907,5555,0.901599,5.33
2MASS J11553952-3727350,20.236976,-19.079695,-14.137541,M8V,0.121,2544,0.00021,16.11
Wolf 1069,18.737425,-24.666042,3.96809,M3.5V,0.306,3194,0.005944,12.11
61 Ursae Majoris,-21.021464,-23.104974,0.442532,M5V,0.244,2977,0.001951,13.44
Gliese 358,26.684187,-14.338661,-8.112126,M3V,0.327,3266,0.008618,11.67
WISEA J1141-3326¤,2.315961,26.196476,17.156368,M8V,0.121,2544,0.00021,16.11
TYC 3251-1875-1,-30.925819,-2.066308,5.674872,M5V,0.244,2977,0.001951,13.44
LHS 6167,1.334934,-10.820114,-29.627825,M5V,0.244,2977,0.001951,13.44
WISE J140533.32+835030.5,-6.094881,30.608537,-4.952762,M8V,0.121,2544,0.00021,16.11
Gliese 479,6.182313,-18.112193,25.157893,M3V,0.327,3266,0.008618,11.67
AU Microscopii,11.048994,-28.924579,6.715723,M5V,0.244,2977,0.001951,13.44
GJ 1138,-16.802734,3.651243,-26.631308,M3V,0.327,3266,0.008618,11.67
Gliese 436 (Noquisi),31.400734,4.62165,3.015987,M3V,0.327,3266,0.008618,11.67
LP 655-48,-11.197627,-23.116437,19.018021,M5V,0.244,2977,0.001951,13.44
WISE 0811-8051¤,-16.238231,16.825736,-21.845239,M8V,0.121,2544,0.00021,16.11
GJ 3112 (LHS 145)à,-28.57352,-9.001931,11.361373,M3V,0.327,3266,0.008618,11.67
GJ 3253,17.770551,-19.953674,17.807598,M3V,0.327,3266,0.008618,11.67
Gliese 638,-22.591116,-21.413149,-7.901109,M3V,0.327,3266,0.008618,11.67
Gliese 49/51 B,21.586767,17.948627,-15.684236,M3V,0.327,3266,0.008618,11.67
Gliese 49/51 A,-22.469248,22.708233,3.688638,M3V,0.327,3266,0.008618,11.67
12 Ophiuchi,6.128462,0.118378,31.6825,M5V,0.244,2977,0.001951,13.44
GJ 3988,28.678059,12.167157,-8.533418,M3V,0.327,3266,0.008618,11.67
HD 232979,-11.702536,16.137522,25.44039,K5V,0.606,4366,0.195887,7.67
GJ 3119,23.2241,13.580434,-17.982843,M3V,0.327,3266,0.008618,11.67
Gliese 680,-22.275693,15.905867,-17.280445,M3V,0.327,3266,0.008618,11.67
Gliese 569 A,7.020688,-21.776532,23.033318,M3V,0.327,3266,0.008618,11.67
WISE 1614+1739¤,-9.695612,-29.887641,8.688154,M8V,0.121,2544,0.00021,16.11
ULAS 1335+11,26.771773,15.98329,-9.51665,M5V,0.244,2977,0.001951,13.44
HD 260655 (Gliese 239),4.610589,1.574732,32.241965,M3V,0.327,3266,0.008618,11.67
GJ 1125,27.909908,14.716764,-8.23808,M3V,0.327,3266,0.008618,11.67
GJ 3976,-2.074527,-28.517564,-15.886754,M3V,0.327,3266,0.008618,11.67
GJ 3182à,-19.777474,-11.672973,23.320508,M3V,0.327,3266,0.008618,11.67
Gliese 22 C,14.996389,15.318119,-24.85188,M3V,0.327,3266,0.008618,11.67
Gliese 22 A,-14.140184,-29.617252,0.161209,M3V,0.327,3266,0.008618,11.67
Gliese 22 B,-14.140184,-29.617252,0.161209,M3V,0.327,3266,0.008618,11.67
HR 5256,-4.020205,-10.156895,30.959398,G5V,0.907,5555,0.901599,5.33
HR 511,-9.068685,-29.981281,9.866475,G5V,0.907,5555,0.901599,5.33
WISE 1150+6302¤,7.967472,-29.356836,-12.534177,M8V,0.121,2544,0.00021,16.11
WISE 1318-1758¤,8.483633,31.483695,-4.383486,M8V,0.121,2544,0.00021,16.11
Gliese 678.1 A,-24.447402,4.536181,-21.878803,M3V,0.327,3266,0.008618,11.67
Gliese 453,-7.374467,-25.110585,-20.314345,M3V,0.327,3266,0.008618,11.67
Alpha Mensae (Hoerikwaggo) B,2.553405,-9.716846,31.706319,M5V,0.244,2977,0.001951,13.44
Gliese 339.1à,-7.774116,11.02535,-30.685423,M3V,0.327,3266,0.008618,11.67
Gliese 1277,26.406657,3.936293,-20.383379,M3V,0.327,3266,0.008618,11.67
SCR J0533-4257,18.775965,-0.355788,-28.042808,M5V,0.244,2977,0.001951,13.44
HD 17925 (32 G. Eridani),-10.600528,14.691339,-28.487382,K5V,0.606,4366,0.195887,7.67
2MASS 0559-1404¤,-17.172087,17.642893,-23.099467,M8V,0.121,2544,0.00021,16.11
Pollux (Beta Geminorum),-26.832564,-20.329633,-2.794266,M5V,0.244,2977,0.001951,13.44
2MASS J2139+0220¤,21.004259,-0.260839,26.480051,M8V,0.121,2544,0.00021,16.11
Gliese 649,27.321582,-13.197896,-14.983066,M3V,0.327,3266,0.008618,11.67
2MASS 1237+6526¤,-19.843962,-26.327867,7.89117,M8V,0.121,2544,0.00021,16.11
WISE 1322-2340¤,12.942927,-21.266395,-23.00937,M8V,0.121,2544,0.00021,16.11
Gliese 595,-3.484187,12.041174,31.615671,M3V,0.327,3266,0.008618,11.67
Gliese 127.1à,26.791869,3.993714,-20.680725,M3V,0.327,3266,0.008618,11.67
WISE J2030+0749¤,-25.517192,22.630221,2.52705,M8V,0.121,2544,0.00021,16.11
L 363-38 (GJ 3049),-14.592019,8.262817,29.864047,M3V,0.327,3266,0.008618,11.67
Iota Persei,-9.990936,-7.363942,-32.061472,M5V,0.244,2977,0.001951,13.44
2MASS 1047+2124¤,-23.407138,12.436636,-21.927061,M8V,0.121,2544,0.00021,16.11
WD 0821-669à,-10.370926,32.522918,-4.562596,M5V,0.244,2977,0.001951,13.44
2MASS J00501994-3322402¤,-6.254933,24.974034,-22.965701,M8V,0.121,2544,0.00021,16.11
L 98-59,-6.479955,11.379825,32.026079,M5V,0.244,2977,0.001951,13.44
Gliese 653/654 B,-3.471843,-34.136015,-4.454075,M3V,0.327,3266,0.008618,11.67
Gliese 653/654 A,-3.471843,-34.136015,-4.454075,M3V,0.327,3266,0.008618,11.67
WISE 0148-7202¤,-3.471843,-34.136015,-4.454075,M8V,0.121,2544,0.00021,16.11
2MASS 2228-4310¤,-26.582851,-3.301549,22.057693,M8V,0.121,2544,0.00021,16.11
2MASS 0243-2453¤,13.459283,-6.674246,-31.39016,M8V,0.121,2544,0.00021,16.11
2MASS J08251968+2115521¤,-24.962678,21.485428,-11.237487,M8V,0.121,2544,0.00021,16.11
WISE 0734-7157¤,-16.149662,26.330867,16.244504,M8V,0.121,2544,0.00021,16.11
Zeta Herculis B,19.903343,0.626908,-28.722229,M5V,0.244,2977,0.001951,13.44
Gliese 617 A,33.348656,6.217941,-8.573472,M3V,0.327,3266,0.008618,11.67
Gliese 617 B,33.348656,6.217941,-8.573472,M3V,0.327,3266,0.008618,11.67
AT Microscopii B,-2.562713,-32.387005,-13.019769,M5V,0.244,2977,0.001951,13.44
AT Microscopii A,9.959839,15.499403,-29.758531,M5V,0.244,2977,0.001951,13.44
TVLM513-46546,13.357251,22.472451,23.421843,M5V,0.244,2977,0.001951,13.44
Gliese 203,33.874192,-9.231743,0.161714,M3V,0.327,3266,0.008618,11.67
Gliese 3820,30.432421,9.545431,14.702616,M3V,0.327,3266,0.008618,11.67
SCR J0838-5855 B,0.759001,16.169501,-31.212125,M5V,0.244,2977,0.001951,13.44
SCR J0838-5855 A,-1.618402,35.097376,-1.334381,M5V,0.244,2977,0.001951,13.44
Gliese 488,31.269,2.935252,-15.895719,M3V,0.327,3266,0.008618,11.67
HR 9038 C,31.269,2.935252,-15.895719,G5V,0.907,5555,0.901599,5.33
HR 9038 B,-19.987996,-9.514121,-27.367892,G5V,0.907,5555,0.901599,5.33
HR 9038 A,31.269001,2.935252,-15.895719,G5V,0.907,5555,0.901599,5.33
Delta Trianguli B,-22.628536,-18.594495,19.883513,M5V,0.244,2977,0.001951,13.44
Delta Trianguli A,-4.136297,-18.79171,-29.714015,M5V,0.244,2977,0.001951,13.44
L 34-26,-21.727585,-23.815087,14.913889,M5V,0.244,2977,0.001951,13.44
GJ 4063,-26.239105,6.787905,-22.972979,M3V,0.327,3266,0.008618,11.67
Beta Virginis (Zavijava),18.274585,-27.036605,14.227491,M5V,0.244,2977,0.001951,13.44
Gliese 86 A,18.274586,-27.036605,14.227491,M3V,0.327,3266,0.008618,11.67
Gliese 86 B,18.274586,-27.036606,14.227491,M3V,0.327,3266,0.008618,11.67
SCR J1214-2345 A,25.070255,-7.400745,-24.299946,M5V,0.244,2977,0.001951,13.44
SCR J1214-2345 B,25.070255,-7.400745,-24.299946,M5V,0.244,2977,0.001951,13.44
G 239-25,0.72951,-35.728329,1.564344,M5V,0.244,2977,0.001951,13.44
HD 160346,-7.27576,-26.788289,-22.733791,K5V,0.606,4366,0.195887,7.67
2MASS J19513587-3510375,-8.272557,2.43099,-34.828574,M8V,0.121,2544,0.00021,16.11
WISE 2313-0837¤,-0.912556,29.963252,19.752993,M8V,0.121,2544,0.00021,16.11
Gliese 438,-9.603972,-33.371583,9.262008,M3V,0.327,3266,0.008618,11.67
L 369-44 A,29.558505,5.077785,-20.214724,M5V,0.244,2977,0.001951,13.44
L 369-44 B,29.558505,5.077785,-20.214724,M5V,0.244,2977,0.001951,13.44
2MASS J16452211-1319516,3.878521,-21.717235,-28.688584,M8V,0.121,2544,0.00021,16.11
HIP 57050 (GJ 1148),-21.773091,-9.356213,-27.364827,M3V,0.327,3266,0.008618,11.67
Denebola (Beta Leonis),-21.773091,-9.356213,-27.364827,M5V,0.244,2977,0.001951,13.44
54 Piscium B,-21.773091,-9.356213,-27.364827,M5V,0.244,2977,0.001951,13.44
HR 6806 (HD 166620),-21.773091,-9.356213,-27.364827,K5V,0.606,4366,0.195887,7.67
54 Piscium A,16.076741,32.431062,0.452427,M5V,0.244,2977,0.001951,13.44
HD 74576,-13.133279,32.91927,7.844019,K5V,0.606,4366,0.195887,7.67
Gamma Serpentis,3.469243,-36.095289,-1.668681,M5V,0.244,2977,0.001951,13.44
Gliese 325 B,-23.187966,1.608417,28.012341,M3V,0.327,3266,0.008618,11.67
HD 85512,-23.187966,1.608417,28.012341,K5V,0.606,4366,0.195887,7.67
Gliese 325 A,-23.187966,1.608417,28.012341,M3V,0.327,3266,0.008618,11.67
WD 0810Ð353 (UPM J0812-3529),1.125036,-36.374069,1.86069,M5V,0.244,2977,0.001951,13.44
11 Leonis Minoris B,5.632034,-17.917236,-31.29701,M5V,0.244,2977,0.001951,13.44
11 Leonis Minoris A,5.632034,-17.917236,-31.29701,M5V,0.244,2977,0.001951,13.44
WISE 0325+0831,5.632034,-17.917236,-31.29701,M8V,0.121,2544,0.00021,16.11
Theta Persei B,2.175018,-34.956438,-10.624346,M5V,0.244,2977,0.001951,13.44
HD 115404 A,2.175018,-34.956438,-10.624346,K5V,0.606,4366,0.195887,7.67
Theta Persei A,28.551958,-19.822147,-11.464214,M5V,0.244,2977,0.001951,13.44
HD 115404 B,28.551958,-19.822147,-11.464214,K5V,0.606,4366,0.195887,7.67
ADS 48 B,21.760189,-7.516282,28.581282,M5V,0.244,2977,0.001951,13.44
Arcturus (Alpha Botes),5.822684,35.697287,-6.220133,M5V,0.244,2977,0.001951,13.44
ADS 48 A,21.760189,-7.516282,28.581283,M5V,0.244,2977,0.001951,13.44
G 107-69/70 C,-19.074522,20.397202,23.904274,M5V,0.244,2977,0.001951,13.44
G 107-69/70 A,-1.300707,5.573757,36.311692,M5V,0.244,2977,0.001951,13.44
G 107-69/70 B,-1.300707,5.573757,36.311693,M5V,0.244,2977,0.001951,13.44
WISE 0038+2768,20.960605,30.213225,3.069864,M8V,0.121,2544,0.00021,16.11
Eta Botis (Muphrid),-23.880402,3.943311,-27.985294,M5V,0.244,2977,0.001951,13.44
Gliese 208,-34.055898,-11.805221,8.788774,M3V,0.327,3266,0.008618,11.67
WISE 1959-3338¤,-1.529841,-34.315866,-14.280089,M8V,0.121,2544,0.00021,16.11
WISE 0627-1114¤,-1.529841,-34.315866,-14.280089,M8V,0.121,2544,0.00021,16.11
Gliese 902,-1.529841,-34.315866,-14.280089,M3V,0.327,3266,0.008618,11.67
Gliese 169,29.401875,4.382773,-22.695397,M3V,0.327,3266,0.008618,11.67
WISE 2325-4105¤,8.370795,-36.498886,2.002758,M8V,0.121,2544,0.00021,16.11
WISE 0623-0456¤,8.370796,-36.498887,2.002758,M8V,0.121,2544,0.00021,16.11
ADS 48 F,-26.971298,-24.919367,-7.653388,M5V,0.244,2977,0.001951,13.44
HR 5553 (DE Botis),-17.628274,11.859269,-31.021954,G5V,0.907,5555,0.901599,5.33
WISE 2340-0745¤,-17.86332,22.396556,-24.660415,M8V,0.121,2544,0.00021,16.11
Gliese 3417,12.89708,22.86858,27.305453,M3V,0.327,3266,0.008618,11.67
Zeta Doradus A,-15.720815,31.759296,-13.718713,M5V,0.244,2977,0.001951,13.44
Zeta Doradus B,-35.208428,-11.498172,8.494625,M5V,0.244,2977,0.001951,13.44
SCR J0640-0552,-6.570053,0.35357,37.466666,M5V,0.244,2977,0.001951,13.44
SSSPM J0829-1309,-26.209803,25.933837,-9.707041,M5V,0.244,2977,0.001951,13.44
Lambda Serpentis,2.154962,33.392067,-18.633733,M5V,0.244,2977,0.001951,13.44
Iota Pegasi B,2.154962,33.392067,-18.633733,M5V,0.244,2977,0.001951,13.44
Iota Pegasi A,16.593414,-4.904595,34.168605,M5V,0.244,2977,0.001951,13.44
WISE J1206+8401,-0.498687,-38.451915,-1.85783,M8V,0.121,2544,0.00021,16.11
Gliese 773.6,10.165634,5.903125,36.661465,M3V,0.327,3266,0.008618,11.67
HD 125072,36.875168,-9.102679,6.879188,K5V,0.606,4366,0.195887,7.67
Delta Capricorni (Deneb Algedi),19.660361,30.296958,-13.62074,M5V,0.244,2977,0.001951,13.44
L 43-72,29.675841,-2.886136,-24.609151,M5V,0.244,2977,0.001951,13.44
Gamma Virginis (Porrima) A,0.382412,24.595578,-29.876434,M5V,0.244,2977,0.001951,13.44
Gamma Virginis (Porrima) B,0.382412,24.595578,-29.876434,M5V,0.244,2977,0.001951,13.44
Gliese 414 B (GJ 414),0.382412,24.595578,-29.876434,M3V,0.327,3266,0.008618,11.67
L 449-1,0.382412,24.595579,-29.876434,M5V,0.244,2977,0.001951,13.44
Gliese 414 A (GJ 414),-31.577873,-6.914053,-21.386243,M3V,0.327,3266,0.008618,11.67
WISE 0759-4904¤,11.661126,-16.213099,33.265502,M8V,0.121,2544,0.00021,16.11
WISE 0751-7634¤,-9.731616,-36.575871,-9.813833,M8V,0.121,2544,0.00021,16.11
G 180-060,-25.46449,29.772158,-1.348489,M5V,0.244,2977,0.001951,13.44
Gliese 806,-27.165626,-0.775876,28.455086,M3V,0.327,3266,0.008618,11.67
Zeta Reticuli A,-39.165661,-2.461223,3.514732,M5V,0.244,2977,0.001951,13.44
Zeta Reticuli B,-39.165661,-2.461223,3.514732,M5V,0.244,2977,0.001951,13.44
Gliese 180 (GJ 180),31.052782,4.628865,-23.969737,M3V,0.327,3266,0.008618,11.67
85 Pegasi A,34.028162,-1.213151,-20.021549,M5V,0.244,2977,0.001951,13.44
Gliese 798,34.028162,-1.213151,-20.02155,M3V,0.327,3266,0.008618,11.67
WISE 1653+4444,34.028162,-1.213151,-20.02155,M8V,0.121,2544,0.00021,16.11
Zeta Trianguli Australis,6.94768,-11.08976,37.26925,M5V,0.244,2977,0.001951,13.44
TRAPPIST-1,6.94768,-11.08976,37.26925,M5V,0.244,2977,0.001951,13.44
85 Pegasi B,6.94768,-11.08976,37.26925,M5V,0.244,2977,0.001951,13.44
Gliese 3304,-10.18478,-19.726885,-32.706898,M3V,0.327,3266,0.008618,11.67
HR 3384 (11 G. Pyxidis),0.471264,-39.179229,6.39186,G5V,0.907,5555,0.901599,5.33
V538 Aurigae,20.646809,-33.651273,-5.771581,M5V,0.244,2977,0.001951,13.44
Gliese 179,31.52447,4.699177,-24.333835,M3V,0.327,3266,0.008618,11.67
Beta Trianguli Australis,-23.374791,-30.700303,11.276107,M5V,0.244,2977,0.001951,13.44
55 Cancri (Rho- Cancri/Copernicus) A,-5.24114,-32.319336,-23.41054,M5V,0.244,2977,0.001951,13.44
55 Cancri (Rho- Cancri/Copernicus) B,-5.24114,-32.319337,-23.410541,M5V,0.244,2977,0.001951,13.44
Gliese 4360 A,-27.248426,24.111544,18.39428,M3V,0.327,3266,0.008618,11.67
Gliese 4360 B,-31.161778,11.810839,23.48703,M3V,0.327,3266,0.008618,11.67
WISE 1051-2138,-10.776914,38.54258,-7.935215,M8V,0.121,2544,0.00021,16.11
WISE J0457-0207,-18.974165,29.149038,21.329666,M8V,0.121,2544,0.00021,16.11
Gliese 435,-18.974165,29.149038,21.329666,M3V,0.327,3266,0.008618,11.67
LHS 1140,28.394128,23.479033,17.986342,M5V,0.244,2977,0.001951,13.44
ULAS J0034-00,28.394128,23.479033,17.986342,M5V,0.244,2977,0.001951,13.44
HD 69830,2.988586,-26.258345,-31.345936,K5V,0.606,4366,0.195887,7.67
WISE 1542+2230,-33.485614,9.187524,21.988931,M8V,0.121,2544,0.00021,16.11
Gliese 1132,32.349924,4.822223,-24.971005,M3V,0.327,3266,0.008618,11.67
Gliese 142,32.389231,4.828082,-25.001346,M3V,0.327,3266,0.008618,11.67
HR 483 A,-3.650965,31.979393,-25.718259,G5V,0.907,5555,0.901599,5.33
Lambda Aurigae (Al Hurr),-3.650965,31.979393,-25.718259,M5V,0.244,2977,0.001951,13.44
HD 175224,-3.650965,31.979393,-25.718259,K5V,0.606,4366,0.195887,7.67
HR 483 B,-29.600841,17.175975,-22.939401,G5V,0.907,5555,0.901599,5.33
Innes' star,-13.462923,-25.958543,-29.16494,M5V,0.244,2977,0.001951,13.44
HD 14412,27.913423,-30.562494,-0.857181,K5V,0.606,4366,0.195887,7.67
Gliese 349,7.629521,22.745299,33.74021,M3V,0.327,3266,0.008618,11.67
44 Botis (i Botis/Quadrans) B,6.80124,-39.83775,9.861884,M5V,0.244,2977,0.001951,13.44
44 Botis (i Botis/Quadrans) A,-15.778028,-32.591918,-20.478787,M5V,0.244,2977,0.001951,13.44
2MASS J0523-1403,-4.958358,39.975186,10.470124,M8V,0.121,2544,0.00021,16.11
HD 158633,36.486275,19.782515,-4.036558,K5V,0.606,4366,0.195887,7.67
Gliese 3707,-31.422937,-4.330009,-27.146133,M3V,0.327,3266,0.008618,11.67
HD 40307,-36.591538,-9.001886,-18.090478,K5V,0.606,4366,0.195887,7.67
